央视移动,#genre#
CCTV-04,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-05,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-05+,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225507/index.m3u8
CCTV-06,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-07,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-08,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-09,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225677/index.m3u8
CCTV-11,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV-12,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV-16,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225893/index.m3u8
CCTV-17,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

CCTV-01,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8
CCTV-02,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8
CCTV-03,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8
CCTV-04,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV-05,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV5-+,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8
CCTV-06,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226010/index.m3u8
CCTV-07,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225733/index.m3u8
CCTV-08,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226008/index.m3u8
CCTV-09,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8
CCTV-10,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225730/index.m3u8
CCTV-11,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225597/index.m3u8
CCTV-12,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225731/index.m3u8
CCTV-13,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/index.m3u8
CCTV-14,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225732/index.m3u8
CCTV-15,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225601/index.m3u8
CCTV-16,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226100/index.m3u8
CCTV-17,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/index.m3u8
卫视V6,#genre#

湖南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
浙江卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
江苏卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
东方卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
广东卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
深圳卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
北京卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
四川卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
江西卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
海南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
湖北卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
贵州卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
辽宁卫视,http://pi.0472.org/live/lnws.m3u8?token=240413
河北卫视,http://pi.0472.org/live/hbws.m3u8?token=240413
山东卫视,http://pi.0472.org/live/sdws.m3u8?token=240413
安徽卫视,http://pi.0472.org/live/ahws.m3u8?token=240413
河南卫视,http://pi.0472.org/live/hnws.m3u8?token=240413
湖北卫视,http://pi.0472.org/live/hubws.m3u8?token=240413
湖南卫视,http://pi.0472.org/live/hunws.m3u8?token=240413
江西卫视,http://pi.0472.org/live/jxws.m3u8?token=240413
江苏卫视,http://pi.0472.org/live/jsws.m3u8?token=240413
浙江卫视,http://pi.0472.org/live/zjws.m3u8?token=240413
东南卫视,http://pi.0472.org/live/dnws.m3u8?token=240413
广东卫视,http://pi.0472.org/live/gdws.m3u8?token=240413
深圳卫视,http://pi.0472.org/live/szws.m3u8?token=240413
广西卫视,http://pi.0472.org/live/gxws.m3u8?token=240413
贵州卫视,http://pi.0472.org/live/gzws.m3u8?token=240413
四川卫视,http://pi.0472.org/live/scws.m3u8?token=240413
新疆卫视,http://pi.0472.org/live/xjws.m3u8?token=240413
海南卫视,http://pi.0472.org/live/hinws.m3u8?token=240413
影频道,#genre#
邵氏影院@代,http://159.75.85.63:35455/douyu/4246519
邵氏影院@代,https://www.goodiptv.club/douyu/4246519
邵氏影院@代,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519
邵氏影院@代,http://www.goodiptv.club/douyu/4246519
经典影院@代,http://ali.hlspull.yximgs.com/live/asdfg32516.flv
林正英频道台,https://hw.flv.huya.com:443/src/1394575543-1394575543-5989656348986441728-2789274542-10057-A-0-1.flv?ctype=tars_mp&exsphd=264_500%2C264_2000%2C264_4000%2C264_6000%2C264_8000%2C&fs=bgct&seqid=3180385652194&sphd=264_%2A-265_%2A&sphdDC=huya&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sv=2024041407&t=102&uid=1467335576631&uuid=648783758&ver=1&wsSecret=3d15c69c32f4799d20a00e41bdbf0831&wsTime=661b663b
香港电影频道,http://live-cmvideo.cmread.com:80/wd_r2/virtuallive/5100180869/150/01.m3u8?msisdn=&mtv_session=&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=a78e73c9d50f677a369a589aace6f489
河南酒店影01,http://477.hsmedia.top:8080/newlive/live/hls/59/live.m3u8
河南酒店影02,http://477.hsmedia.top:8080/newlive/live/hls/58/live.m3u8
周星驰影@代,http://223.109.210.49/txdirect.flv.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.flv
超级电影@代,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
中国功夫@代,http://[2409:8087:1a0b:df::4001]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
重温经典@代,http://43.141.130.51/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典@代,http://43.141.130.33/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
经典功夫@代,http://43.138.170.29:35455/yy/1355002394
新白娘子传奇,http://43.138.170.29:35455/yy/1354930969
新白娘子传奇,https://live.metshop.top/yy/1354490667
新白娘子修复,https://live.metshop.top/yy/1354930969
喜剧电影频道,http://159.75.85.63:35455/douyu/9292492
喜剧电影频道,http://43.138.170.29:35455/douyu/9292492
金马影院@代,http://tvbox6.com/tv/yximgs.php?id=65
东森电影@代,http://50.7.238.114:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
星光视界@代,http://cfss.cc/cdn/yy/1353422557.flv
网神影厅@代,https://www.goodiptv.club/douyu/508118
1905电影频道,https://hlslive.1905.com/live/LIVENCOI8M4RGOOJ9/index.m3u8?tm=1713585901&sign=06c40b82447ae72f0bfd3dc310363405
1905电影(亚洲),http://xxw.me0.cn/1905dy.php?id=1905a
1905电影(国际),http://xxw.me0.cn/1905dy.php?id=1905b
斗鱼4K影@代,http://mmitv.top/test/douyu.php?id=9249162
斗鱼4K影@代,http://159.75.85.63:35455/douyu/9249162
重温经典@代,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
北京淘精彩,http://218.241.192.50:8808/udp/239.3.1.178:8001
北京萌宠TV,http://218.241.192.50:8808/udp/239.3.1.102:8001
北京淘Baby,http://218.241.192.50:8808/udp/239.3.1.238:8001
北京淘剧场,http://218.241.192.50:8808/udp/239.3.1.95:8001
北京淘电影,http://218.241.192.50:8808/udp/239.3.1.250:8001
北京淘娱乐,http://218.241.192.50:8808/udp/239.3.1.100:8001
电影星爷@代,http://cfss.cc/cdn/hy/11342412.flv
周星驰典@代,http://tc-tct.douyucdn2.cn/dyliveflv1a/3637778raLSXdOdu_2000.m3u8
红色轮播@代,http://mywlkj.ddns.net:754/tv/migu.php?id=hslbt
绝版电影@代,https://lunbo.freetv.top/yy/1455988450
绝版电影@部,https://lunbo.freetv.top/yy/1355263385
特辑电影@代,https://www.goodiptv.club/douyu/3637778
功夫电影@代,http://tvbox6.com/tv/yximgs.php?id=68
经典功夫@代,https://lunbo.freetv.top/yy/1355002394
新白娘子传奇,https://lunbo.freetv.top/yy/1354930969
新白娘子传奇,http://43.138.170.29:35455/yy/1354930969
超级电影ipv6,http://[2409:8087:1a0b:df::4006]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
峨眉电影高清,http://182.138.136.195:4455/rtp/239.93.0.252:5140?Cf=cfss.cc
军旅剧场ipv6,http://[2409:8087:1a0b:df::4018]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
海外剧场ipv6,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8
CCtv6影院代,https://epg.pw/stream/753fe6b20478c17a39f0c17d3c8d98a74cd5890a6e40f4ce011380f2dd185285.m3u8
CCtv6影院代,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
惊悚悬疑ipv6,http://[2409:8087:1a0b:df::4002]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
明星大片ipv6,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
CHC动作电影,http://fxgm.fxjf.work:19901/tsfile/live/1015_1.m3u8
CHC家庭影院,http://fxgm.fxjf.work:19901/tsfile/live/1014_1.m3u8
CHC高清电影,http://fxgm.fxjf.work:19901/tsfile/live/1016_1.m3u8
惊嫊悬疑电影,http://[2409:8087:1a0b:df::4002]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
梨园卫视频道,http://222.223.118.222:2180/live/lypd/index.m3u8
梨园频道ipv6,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380788ba7bed/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQI5%2BK6T7j%2FlRm%2BvbM9VO7bA0q1S1k1f36SqqriM0FZoFSAJRfCt8SS7X6sTRmXb81a8O4H%2FdroDKjLoDeaMQdyJQ
黑莓电影@代,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225743/1.m3u8
黑莓动画@代,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225662/1.m3u8
星爷影院@代,http://mmitv.top:80/test/douyu.php?id=122402&u=4654622&cate
豆瓣高分@代,http://43.138.170.29:35455/douyu/8770422
下饭神剧@代,http://43.138.170.29:35455/douyu/276200
超级电影ipv6,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级电影ipv6,http://[2409:8087:7000:20:1000::22]:6060/000000001000/1000000004000002120/index.m3u8?channel-id=ystenlive&Contentid=1000000004000002120&livemode=1&stbId=3
超级电视ipv6,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
大吉大利影院,https://pull.kktv8.com/livekktv/128600025.flv
吃米滴虫✔原,http://159.75.85.63:35455/douyu/315457
冰冰经典✔原,http://159.75.85.63:35455/douyu/74374
星爷影院✔原,http://159.75.85.63:35455/douyu/508118
凌儿影院✔原,http://159.75.85.63:35455/douyu/1377142
麓山迷踪✔原,http://159.75.85.63:35455/douyu/4505431
瑶瑶恐怖✔原,http://159.75.85.63:35455/douyu/2935323
怡寶影院✔原,http://159.75.85.63:35455/douyu/434971
小黛兮影✔原,http://159.75.85.63:35455/douyu/11553944
萌小鬼片✔原,http://159.75.85.63:35455/douyu/3928
神乐剧场✔原,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1/85894rmovieChow_900p.m3u8
神乐剧院✔原,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1a/122402rK7MO9bXSq_900.m3u8
神乐影剧✔原,http://159.75.85.63:35455/douyu/122402
可乐影院✔原,http://159.75.85.63:35455/douyu/20415
小宇60帧✔原,http://159.75.85.63:35455/douyu/323876
恐怖惊悚✔原,http://159.75.85.63:35455/douyu/96577
電影劇場✔原,http://159.75.85.63:35455/douyu/7575350
豆瓣高分✔原,http://159.75.85.63:35455/douyu/8770422
花卷陪看✔原,http://159.75.85.63:35455/douyu/52787
漫威剧情✔原,http://159.75.85.63:35455/douyu/6140589
霍格沃茨✔原,http://159.75.85.63:35455/douyu/8814650
鱼宝恐怖✔原,http://159.75.85.63:35455/douyu/1165374
鬼片恐怖✔原,http://159.75.85.63:35455/douyu/2935323
小u*鬼片✔原,http://159.75.85.63:35455/douyu/96577
小u*鬼片✔原,http://mmitv.top/test/douyu.php?id=96577&u=4150734&cate
吃奶滴虫✔原,http://159.75.85.63:35455/douyu/263824
变种人片✔原,http://159.75.85.63:35455/douyu/9651304
喜剧电影✔原,http://159.75.85.63:35455/douyu/9292492
女神电影✔原,http://159.75.85.63:35455/douyu/747764
华语经典✔原,http://159.75.85.63:35455/douyu/434971
避风影院✔原,http://159.75.85.63:35455/douyu/9826611
欧美大片✔原,http://159.75.85.63:35455/douyu/2793084
贝爷max✔原,http://159.75.85.63:35455/douyu/4332
贝爷影厅✔原,http://159.75.85.63:35455/douyu/252802
小猪优版剧院,https://www.goodiptv.club/douyu/10297898
绍兴影院频道,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
南京影院频道,http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
平泉影院频道,https://jwliveqxzb.hebyun.com.cn/pqys/pqys.m3u8
新昌休闲影院,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
斗鱼,#genre#

斗鱼,#genre#

邵氏影院[1280*720],http://diyp.112114.xyz/douyu/4246519
邵氏影院[1280*720],http://epg.112114.xyz/douyu/4246519
斗鱼电影4K,http://43.138.170.29:35455/douyu/9249162
斗鱼电影HD1,http://43.138.170.29:35455/douyu/4246519
斗鱼电影HD2,http://43.138.170.29:35455/douyu/10240553
斗鱼电影HD3,http://43.138.170.29:35455/douyu/122402
斗鱼电影HD4,http://43.138.170.29:35455/douyu/85894
斗鱼电影HD5,http://43.138.170.29:35455/douyu/263824
斗鱼电影HD6,http://43.138.170.29:35455/douyu/747764
斗鱼电影HD7,http://43.138.170.29:35455/douyu/20415
斗鱼电影HD8,http://43.138.170.29:35455/douyu/8663752
斗鱼电影HD9,http://43.138.170.29:35455/douyu/323876
斗鱼电影HD10,http://43.138.170.29:35455/douyu/6140589
斗鱼电影HD11,http://43.138.170.29:35455/douyu/8770422
斗鱼电影HD12,http://43.138.170.29:35455/douyu/2436390
斗鱼电影HD13,http://43.138.170.29:35455/douyu/218859
斗鱼电影HD14,http://43.138.170.29:35455/douyu/36337
斗鱼电影HD15,http://43.138.170.29:35455/douyu/413573
斗鱼电影HD16,http://43.138.170.29:35455/douyu/1504768
斗鱼电影HD17,http://43.138.170.29:35455/douyu/3637726
斗鱼电影HD18,http://43.138.170.29:35455/douyu/9292492
斗鱼电影HD19,http://43.138.170.29:35455/douyu/3637765rrt97
斗鱼电影HD20,http://43.138.170.29:35455/douyu/10395991
斗鱼电影HD21,http://43.138.170.29:35455/douyu/10395986
斗鱼电影HD22,http://43.138.170.29:35455/douyu/252802
斗鱼电影HD24,http://43.138.170.29:35455/douyu/315131
斗鱼电影HD25,http://43.138.170.29:35455/douyu/8945323
斗鱼电影HD26,http://43.138.170.29:35455/douyu/2516864
斗鱼电影HD27,http://43.138.170.29:35455/douyu/248753
斗鱼电影HD28,http://43.138.170.29:35455/douyu/4332
斗鱼电影HD29,http://43.138.170.29:35455/douyu/9651304
斗鱼电影HD30,http://43.138.170.29:35455/douyu/9650887
斗鱼电影HD31,http://43.138.170.29:35455/douyu/8814650
斗鱼电影HD32,http://43.138.170.29:35455/douyu/10240510
斗鱼电影HD34,http://43.138.170.29:35455/douyu/8985415
斗鱼电影HD35,http://43.138.170.29:35455/douyu/1165374
斗鱼电影HD36,http://43.138.170.29:35455/douyu/1735337
斗鱼电影HD37,http://43.138.170.29:35455/douyu/6537888
斗鱼电影HD38,http://43.138.170.29:35455/douyu/6003761
斗鱼电影HD39,http://43.138.170.29:35455/douyu/9683979
斗鱼电影HD40,http://43.138.170.29:35455/douyu/1226741
斗鱼电影HD41,http://43.138.170.29:35455/douyu/59612
斗鱼电影HD42,http://43.138.170.29:35455/douyu/925724
斗鱼电影1,http://43.138.170.29:35455/douyu/5423
斗鱼电影2,http://43.138.170.29:35455/douyu/2935323
斗鱼电影3,http://43.138.170.29:35455/douyu/6027991
斗鱼电影4,http://43.138.170.29:35455/douyu/4105989
斗鱼电影5,http://43.138.170.29:35455/douyu/6369954
斗鱼电影6,http://43.138.170.29:35455/douyu/2793084
斗鱼电影7,http://43.138.170.29:35455/douyu/7494871
斗鱼电影8,http://43.138.170.29:35455/douyu/8986148
斗鱼电影9,http://43.138.170.29:35455/douyu/74374
斗鱼电影10,http://43.138.170.29:35455/douyu/4870914
斗鱼电影11,http://43.138.170.29:35455/douyu/7305938
斗鱼电影12,http://43.138.170.29:35455/douyu/310926
斗鱼电影13,http://43.138.170.29:35455/douyu/9292499
斗鱼电影14,http://43.138.170.29:35455/douyu/3637778
斗鱼电影15,http://43.138.170.29:35455/douyu/8603174
斗鱼电影16,http://43.138.170.29:35455/douyu/96577
斗鱼电影17,http://43.138.170.29:35455/douyu/4282654
斗鱼电影18,http://43.138.170.29:35455/douyu/338759
斗鱼电影19,http://43.138.170.29:35455/douyu/10011042
斗鱼电影20,http://43.138.170.29:35455/douyu/9275635
斗鱼电影21,http://43.138.170.29:35455/douyu/5581257
斗鱼电影22,http://43.138.170.29:35455/douyu/2466104
斗鱼电影23,http://43.138.170.29:35455/douyu/5129261
斗鱼电影24,http://43.138.170.29:35455/douyu/9652323
斗鱼电影25,http://43.138.170.29:35455/douyu/9826611
斗鱼电影26,http://43.138.170.29:35455/douyu/4505431
斗鱼电影27,http://43.138.170.29:35455/douyu/7221304
斗鱼电影28,http://43.138.170.29:35455/douyu/3990812
斗鱼电影29,http://43.138.170.29:35455/douyu/315457
斗鱼电影30,http://43.138.170.29:35455/douyu/805235
斗鱼电影31,http://43.138.170.29:35455/douyu/6655271
斗鱼电影32,http://43.138.170.29:35455/douyu/7353112
斗鱼电影33,http://43.138.170.29:35455/douyu/434971
斗鱼电影34,http://43.138.170.29:35455/douyu/10329300
斗鱼电影35,http://43.138.170.29:35455/douyu/10298846
斗鱼电影36,http://43.138.170.29:35455/douyu/3789245
斗鱼电影37,http://43.138.170.29:35455/douyu/6763930
斗鱼电影38,http://43.138.170.29:35455/douyu/7136517
斗鱼电影39,http://43.138.170.29:35455/douyu/8107217
斗鱼电视剧HD1,http://43.138.170.29:35455/douyu/2838296
斗鱼电视剧HD2,http://43.138.170.29:35455/douyu/7701735
斗鱼电视剧HD3,http://43.138.170.29:35455/douyu/7517784
斗鱼电视剧HD4,http://43.138.170.29:35455/douyu/7489563
斗鱼电视剧HD5,http://43.138.170.29:35455/douyu/6566658
斗鱼电视剧HD6,http://43.138.170.29:35455/douyu/431460
斗鱼电视剧HD7,http://43.138.170.29:35455/douyu/8600645
斗鱼电视剧HD8,http://43.138.170.29:35455/douyu/7575350
斗鱼电视剧HD10,http://43.138.170.29:35455/douyu/7644931
斗鱼电视剧HD11,http://43.138.170.29:35455/douyu/9650860
斗鱼电视剧HD12,http://43.138.170.29:35455/douyu/9435180
斗鱼电视剧HD13,http://43.138.170.29:35455/douyu/3756989
斗鱼电视剧HD14,http://43.138.170.29:35455/douyu/6706214
斗鱼电视剧HD15,http://43.138.170.29:35455/douyu/6478650
斗鱼电视剧1,http://43.138.170.29:35455/douyu/299854
斗鱼电视剧2,http://43.138.170.29:35455/douyu/6899895
斗鱼电视剧3,http://43.138.170.29:35455/douyu/276200
斗鱼电视剧4,http://43.138.170.29:35455/douyu/4290711
斗鱼电视剧5,http://43.138.170.29:35455/douyu/6648727
斗鱼电视剧6,http://43.138.170.29:35455/douyu/7314294
斗鱼电视剧7,http://43.138.170.29:35455/douyu/9638983
斗鱼电视剧8,http://43.138.170.29:35455/douyu/5261342
斗鱼电视剧9,http://43.138.170.29:35455/douyu/5522351
斗鱼电视剧10,http://43.138.170.29:35455/douyu/9639508
斗鱼电视剧11,http://43.138.170.29:35455/douyu/2083382
斗鱼电视剧12,http://43.138.170.29:35455/douyu/4373285
斗鱼电视剧13,http://43.138.170.29:35455/douyu/3439096
斗鱼电视剧14,http://43.138.170.29:35455/douyu/4549169
斗鱼电视剧15,http://43.138.170.29:35455/douyu/7254536
斗鱼电视剧16,http://43.138.170.29:35455/douyu/3928r9
斗鱼电视剧17,http://43.138.170.29:35455/douyu/7270927
斗鱼电视剧18,http://43.138.170.29:35455/douyu/7116591
斗鱼电视剧19,http://43.138.170.29:35455/douyu/7459925
斗鱼电视剧20,http://43.138.170.29:35455/douyu/674441
斗鱼电视剧21,http://43.138.170.29:35455/douyu/9518204
斗鱼电视剧22,http://43.138.170.29:35455/douyu/10297898
斗鱼电视剧23,http://43.138.170.29:35455/douyu/8901218
斗鱼电视剧24,http://43.138.170.29:35455/douyu/7292330
斗鱼电视剧25,http://43.138.170.29:35455/douyu/7623292
斗鱼电视剧26,http://43.138.170.29:35455/douyu/7356023
斗鱼电视剧27,http://43.138.170.29:35455/douyu/10068957
斗鱼电视剧28,http://43.138.170.29:35455/douyu/308752
斗鱼电视剧29,http://43.138.170.29:35455/douyu/3758762
斗鱼动漫HD1,http://43.138.170.29:35455/douyu/6449849
斗鱼动漫HD2,http://43.138.170.29:35455/douyu/206858
斗鱼动漫HD3,http://43.138.170.29:35455/douyu/10394922
斗鱼动漫1,http://43.138.170.29:35455/douyu/6610883
斗鱼动漫2,http://43.138.170.29:35455/douyu/1783144
